Sample.Name,Notes,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Blanks
180205_Blk_MQBlk_3,,ZIC pHILIC_85 to 15_ACN,1:10,2,HILIC,,1,1,
180205_Smp_L2C2DCMplus20m_C,,ZIC pHILIC_85 to 15_ACN,1:41,2,HILIC,L2C2DCMplus20m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Poo_TruePoo_Full3,,ZIC pHILIC_85 to 15_ACN,1:06,2,HILIC,Poo,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180208_Poo_Sept29QC_1,,RP_POS Metabolomics,1:04,8,CyanoAq,,1,1,
180208_Poo_TruePoo_Full1,,RP_POS Metabolomics,1:06,8,CyanoAq,Poo,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Poo_TruePoo_Half1,,RP_POS Metabolomics,1:05,8,CyanoAq,Poo,1,0.5,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Blk_MQBlk_1,,RP_POS Metabolomics,1:07,8,CyanoAq,,1,1,
180208_Smp_L2C1DCMless20m_A,,RP_POS Metabolomics,1:09,8,CyanoAq,L2C1DCMless20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C33DCMplus10m_A,,RP_POS Metabolomics,1:10,8,CyanoAq,L1C33DCMplus10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C2DCMplus20m_A,,RP_POS Metabolomics,1:11,8,CyanoAq,L2C2DCMplus20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C2DCMplus10m_A,,RP_POS Metabolomics,1:12,8,CyanoAq,L2C2DCMplus10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C32DCMless10m_A,,RP_POS Metabolomics,1:13,8,CyanoAq,L1C32DCMless10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Blk_SWBlk_1,,RP_POS Metabolomics,1:08,8,CyanoAq,L1C32DCMless20m,1,1,
180208_Smp_L1C32DCMless20m_A,,RP_POS Metabolomics,1:14,8,CyanoAq,,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C2DCM_A,,RP_POS Metabolomics,1:15,8,CyanoAq,L2C2DCM,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C33DCM_A,,RP_POS Metabolomics,1:16,8,CyanoAq,L1C33DCM,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L1C33DCMplus20m_A,,RP_POS Metabolomics,1:17,8,CyanoAq,L1C33DCMplus20m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C1DCMless10m_A,,RP_POS Metabolomics,1:18,8,CyanoAq,L2C1DCMless10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Poo_TruePoo_Half2,,RP_POS Metabolomics,1:05,8,CyanoAq,Poo,1,0.5,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Poo_TruePoo_Full2,,RP_POS Metabolomics,1:06,8,CyanoAq,Poo,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Poo_Sept29QC_2,,RP_POS Metabolomics,1:04,8,CyanoAq,,1,1,
180208_Smp_L1C33DCM_B,,RP_POS Metabolomics,1:19,8,CyanoAq,L1C33DCM,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C2DCMplus10m_B,,RP_POS Metabolomics,1:20,8,CyanoAq,L2C2DCMplus10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Smp_L2C1DCMless10m_B,,RP_POS Metabolomics,1:21,8,CyanoAq,L2C1DCMless10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
180208_Blk_MQBlk_2,,RP_POS Metabolomics,1:22,8,CyanoAq,,1,1,
180208_Smp_L1C32DCMless10m_B,,RP_POS Metabolomics,1:23,8,CyanoAq,L1C32DCMless10m,1,1,180208_Blk_SWBlk_1;180208_Blk_SWBlk_2;180208_Blk_SWBlk_3
