"Description","Value","Replicate.Name","Area.Value","Area.with.QC","Mz.Value","RT.Value","SN.Value","Alignment.ID","Metabolite.name","Run.Type","SN.Flag","Area.Min.Flag","RT.Flag","Blank.Flag","all.Flags"
"Hello! Welcome to the world of MSDIAL QE Quality Control! ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minimum area for a real peak: ",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT flexibility: ",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blank can be this fraction of a sample: ",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S/N ratio: ",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Processed on: ",1575678334.44824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS9C2175m_A",4486,4486,808.119,5.482,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS9C2175m_B",6569,6569,808.119,5.485,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS9C2175m_C",0,NA,808.119,5.483,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS10C2DCM_A",12906,12906,808.119,5.491,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS10C2DCM_B",14878,14878,808.119,5.484,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS10C2DCM_C",22463,22463,808.12,5.481,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS10C215m_A",8793,8793,808.119,5.485,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS10C215m_B",24598,24598,808.12,5.491,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS10C215m_C",23250,23250,808.12,5.49,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS10C2175m_A",2911,2911,808.119,5.486,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS10C2175m_B",1388,1388,808.119,5.479,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS10C2175m_C",519,NA,808.119,5.519,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS11C2DCM_A",11357,11357,808.119,5.49,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS11C2DCM_B",8327,8327,808.119,5.488,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS11C2DCM_C",22059,22059,808.12,5.486,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS11C215m_A",32058,32058,808.119,5.486,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS11C215m_B",5277,5277,808.119,5.517,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS11C215m_C",16985,16985,808.119,5.488,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS11C2175m_A",1622,1622,808.119,5.477,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS11C2175m_B",0,NA,808.119,5.483,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS11C2175m_C",545,NA,808.119,5.543,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS12C1DCM_A",2298,2298,808.119,5.52,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS12C1DCM_B",25816,25816,808.12,5.486,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS12C1DCM_C",21110,21110,808.12,5.48,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS12C115m_A",19190,19190,808.121,5.482,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
