Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Bio.Normalization
180920_Smp_MS4C115m_C,,C18_CoAs,8,CoA_Aq,MS4C115m,1,1
180920_Smp_MS6C3175m_A,,C18_CoAs,8,CoA_Aq,MS6C3175m,1,1
180920_Blk_Blk_60,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS5C1175m_C,,C18_CoAs,8,CoA_Aq,MS5C1175m,1,1
180920_Smp_MS9C215m_B,,C18_CoAs,8,CoA_Aq,MS9C215m,1,1
180920_Blk_Blk_61,,C18_CoAs,8,CoA_Aq,Blk,1,1
180920_Smp_MS8C1DCM_A,,C18_CoAs,8,CoA_Aq,MS8C1DCM,1,1
180920_Std_H2OinMatrix_2,,C18_CoAs,2,CoA_Aq,H2OinMatrix,1,1
180920_Std_4uMStdMix4InH2O_2,,C18_CoAs,2,CoA_Aq,4uMStdMix4InH2O,1,1
180920_Std_4uMStdMix4InMatrix_2,,C18_CoAs,2,CoA_Aq,4uMStdMix4InMatrix,1,1
180920_Blk_Blk_62,,C18_CoAs,8,CoA_Aq,Blk,1,1
